"id";"make";"model";"year";"price";"image";"description";"use";"seats";"transmission";"safety"
239;"Toyota";"Land Cruiser";2008;25000;"https://via.placeholder.com/300x200.png?text=Toyota%20Land%20Cruiser";"This used Toyota Land Cruiser is a rugged and reliable SUV that is perfect for off-road adventures.";"Fun side vehicle";"Seven-seater or more";"Automatic";"As safe as possible"
240;"Honda";"Accord";2017;18000;"https://via.placeholder.com/300x200.png?text=Honda%20Accord";"This used Honda Accord is a comfortable and practical sedan that is great for daily driving.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
241;"Chevrolet";"Camaro";2015;20000;"https://via.placeholder.com/300x200.png?text=Chevrolet%20Camaro";"This used Chevrolet Camaro is a classic and iconic muscle car that is great for weekend drives.";"Fun daily driving";"Four-seater";"Manual";"Mediocre"
242;"Ford";"Mustang";2017;25000;"https://via.placeholder.com/300x200.png?text=Ford%20Mustang";"This used Ford Mustang is a powerful and stylish sports car with a comfortable interior.";"Fun daily driving";"Four-seater";"Automatic";"As safe as possible"
243;"Honda";"CB500X";2019;6000;"https://via.placeholder.com/300x200.png?text=Honda%20CB500X";"This used Honda CB500X adventure bike is a versatile and reliable choice for both on- and off-road riding.";"Fun side vehicle";"Two-seater";"Manual";"Motorcycle"
244;"Chevrolet";"Impala";2015;12000;"https://via.placeholder.com/300x200.png?text=Chevrolet%20Impala";"This used Chevrolet Impala sedan is a spacious and comfortable car with a smooth ride.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
245;"Suzuki";"Hayabusa";2008;9000;"https://via.placeholder.com/300x200.png?text=Suzuki%20Hayabusa";"This used Suzuki Hayabusa sportbike is a high-performance machine that is not for the faint of heart.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
246;"Jeep";"Wrangler";2016;27000;"https://via.placeholder.com/300x200.png?text=Jeep%20Wrangler";"This used Jeep Wrangler SUV is a rugged and capable vehicle that is perfect for off-road adventures.";"Fun side vehicle";"Four-seater";"Manual";"As safe as possible"
247;"BMW";"S1000RR";2018;13000;"https://via.placeholder.com/300x200.png?text=BMW%20S1000RR";"This used BMW S1000RR sportbike is a high-performance machine that is great for both track and street riding.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
248;"Toyota";"Prius";2014;11000;"https://via.placeholder.com/300x200.png?text=Toyota%20Prius";"This used Toyota Prius hybrid is an eco-friendly car with excellent fuel efficiency and a comfortable ride.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
249;"Ducati";"Monster 821";2017;8000;"https://via.placeholder.com/300x200.png?text=Ducati%20Monster%20821";"This used Ducati Monster 821 naked bike is a stylish and powerful choice for city riding.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
250;"Kia";"Soul";2016;9000;"https://via.placeholder.com/300x200.png?text=Kia%20Soul";"This used Kia Soul crossover is a funky and practical car with a spacious interior and good fuel economy.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
251;"Audi";"S5";2018;35000;"https://via.placeholder.com/300x200.png?text=Audi%20S5";"This used Audi S5 is a high-performance coupe that provides a luxurious driving experience.";"Fun daily driving";"Four-seater";"Automatic";"As safe as possible"
252;"Ducati";"Panigale V4";2019;20000;"https://via.placeholder.com/300x200.png?text=Ducati%20Panigale%20V4";"This pre-owned Ducati Panigale V4 is a powerful and exhilarating sportbike.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
253;"Chevrolet";"Camaro";2017;25000;"https://via.placeholder.com/300x200.png?text=Chevrolet%20Camaro";"This used Chevrolet Camaro is a classic American muscle car that provides a thrilling driving experience.";"Fun daily driving";"Four-seater";"Manual";"As safe as possible"
254;"Harley-Davidson";"Street Glide";2015;15000;"https://via.placeholder.com/300x200.png?text=Harley-Davidson%20Street%20Glide";"This pre-owned Harley-Davidson Street Glide is a comfortable and reliable touring motorcycle.";"Confortable daily driving";"Two-seater";"Manual";"Motorcycle"
255;"Ford";"F-150";2019;40000;"https://via.placeholder.com/300x200.png?text=Ford%20F-150";"This used Ford F-150 is a versatile and rugged pickup truck that is perfect for work or play.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
256;"Kawasaki";"Ninja H2";2018;25000;"https://via.placeholder.com/300x200.png?text=Kawasaki%20Ninja%20H2";"This pre-owned Kawasaki Ninja H2 is a high-performance sportbike that provides an adrenaline-fueled ride.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
257;"BMW";"X3";2020;50000;"https://via.placeholder.com/300x200.png?text=BMW%20X3";"This pre-owned BMW X3 is a versatile and luxurious SUV that is perfect for families or adventurers.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
258;"Indian";"Chief Vintage";2013;13000;"https://via.placeholder.com/300x200.png?text=Indian%20Chief%20Vintage";"This used Indian Chief Vintage is a stylish and comfortable cruiser motorcycle that is perfect for long rides.";"Confortable daily driving";"Two-seater";"Manual";"As safe as possible"
259;"Subaru";"WRX";2016;20000;"https://via.placeholder.com/300x200.png?text=Subaru%20WRX";"This used Subaru WRX is a high-performance sedan that provides a thrilling driving experience.";"Fun daily driving";"Four-seater";"Manual";"As safe as possible"
260;"Honda";"Civic";2016;12000;"https://via.placeholder.com/300x200.png?text=Honda%20Civic";"This used Honda Civic is a reliable and affordable option for daily driving.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
261;"Toyota";"4Runner";2014;16000;"https://via.placeholder.com/300x200.png?text=Toyota%204Runner";"This used Toyota 4Runner is a rugged and spacious SUV that is great for off-roading.";"Fun side vehicle";"Seven-seater or more";"Automatic";"As safe as possible"
262;"Dodge";"Challenger";2015;20000;"https://via.placeholder.com/300x200.png?text=Dodge%20Challenger";"This used Dodge Challenger is a powerful and stylish muscle car that is great for weekend cruises.";"Fun daily driving";"Four-seater";"Manual";"Mediocre"
263;"Ford";"Mustang";2012;15000;"https://via.placeholder.com/300x200.png?text=Ford%20Mustang";"This used Ford Mustang is a classic and iconic sports car that is great for spirited driving.";"Fun daily driving";"Four-seater";"Manual";"As safe as possible"
264;"Jeep";"Wrangler";2010;12000;"https://via.placeholder.com/300x200.png?text=Jeep%20Wrangler";"This used Jeep Wrangler is a versatile and capable off-road vehicle that is perfect for adventure seekers.";"Fun side vehicle";"Four-seater";"Manual";"As safe as possible"
265;"BMW";"M3";2013;28000;"https://via.placeholder.com/300x200.png?text=BMW%20M3";"This used BMW M3 is a high-performance sports sedan that is great for driving enthusiasts.";"Fun daily driving";"Four-seater";"Automatic";"As safe as possible"
266;"Toyota";"Land Cruiser";2008;25000;"https://via.placeholder.com/300x200.png?text=Toyota%20Land%20Cruiser";"This used Toyota Land Cruiser is a rugged and reliable SUV that is perfect for off-road adventures.";"Fun side vehicle";"Seven-seater or more";"Automatic";"As safe as possible"
267;"Honda";"Accord";2017;18000;"https://via.placeholder.com/300x200.png?text=Honda%20Accord";"This used Honda Accord is a comfortable and practical sedan that is great for daily driving.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
268;"Chevrolet";"Camaro";2015;20000;"https://via.placeholder.com/300x200.png?text=Chevrolet%20Camaro";"This used Chevrolet Camaro is a classic and iconic muscle car that is great for weekend drives.";"Fun daily driving";"Four-seater";"Manual";"Mediocre"
269;"Ford";"Mustang";2017;25000;"https://via.placeholder.com/300x200.png?text=Ford%20Mustang";"This used Ford Mustang is a powerful and stylish sports car with a comfortable interior.";"Fun daily driving";"Four-seater";"Automatic";"As safe as possible"
270;"Honda";"CB500X";2014;4000;"https://via.placeholder.com/300x200.png?text=Honda%20CB500X";"This used Honda CB500X adventure bike is a versatile and reliable choice for both on- and off-road riding.";"Fun side vehicle";"Two-seater";"Manual";"Motorcycle"
271;"Chevrolet";"Impala";2015;12000;"https://via.placeholder.com/300x200.png?text=Chevrolet%20Impala";"This used Chevrolet Impala sedan is a spacious and comfortable car with a smooth ride.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
272;"Suzuki";"Hayabusa";2008;9000;"https://via.placeholder.com/300x200.png?text=Suzuki%20Hayabusa";"This used Suzuki Hayabusa sportbike is a high-performance machine that is not for the faint of heart.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
273;"Jeep";"Wrangler";2016;27000;"https://via.placeholder.com/300x200.png?text=Jeep%20Wrangler";"This used Jeep Wrangler SUV is a rugged and capable vehicle that is perfect for off-road adventures.";"Fun side vehicle";"Four-seater";"Manual";"As safe as possible"
274;"BMW";"S1000RR";2018;13000;"https://via.placeholder.com/300x200.png?text=BMW%20S1000RR";"This used BMW S1000RR sportbike is a high-performance machine that is great for both track and street riding.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
275;"Toyota";"Prius";2014;11000;"https://via.placeholder.com/300x200.png?text=Toyota%20Prius";"This used Toyota Prius hybrid is an eco-friendly car with excellent fuel efficiency and a comfortable ride.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
276;"Ducati";"Monster 821";2017;8000;"https://via.placeholder.com/300x200.png?text=Ducati%20Monster%20821";"This used Ducati Monster 821 naked bike is a stylish and powerful choice for city riding.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
277;"Kia";"Soul";2016;9000;"https://via.placeholder.com/300x200.png?text=Kia%20Soul";"This used Kia Soul crossover is a funky and practical car with a spacious interior and good fuel economy.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
278;"Ferrari";"LaFerrari";2022;200000;"https://via.placeholder.com/300x200.png?text=Ferrari%20LaFerrari";"The Ferrari LaFerrari is an iconic and exclusive supercar with unmatched performance and style.";"Fun daily driving";"Two-seater";"Automatic";"As safe as possible"
279;"Harley-Davidson";"Iron 883";2021;9000;"https://via.placeholder.com/300x200.png?text=Harley-Davidson%20Iron%20883";"The Harley-Davidson Iron 883 is a classic cruiser motorcycle with a distinctive look and feel.";"Fun side vehicle";"Two-seater";"Manual";"Motorcycle"
280;"Yamaha";"R1";2020;15000;"https://via.placeholder.com/300x200.png?text=Yamaha%20R1";"The Yamaha R1 is a high-performance sportbike with cutting-edge technology and aerodynamics.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
281;"Porsche";"911";2022;150000;"https://via.placeholder.com/300x200.png?text=Porsche%20911";"The Porsche 911 is a legendary sports car with timeless design and thrilling performance.";"Fun daily driving";"Two-seater";"Manual";"As safe as possible"
282;"Honda";"CBR600RR";2021;9000;"https://via.placeholder.com/300x200.png?text=Honda%20CBR600RR";"The Honda CBR600RR is a high-performance sportbike with advanced features and aggressive styling.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
283;"Ducati";"Monster";2020;10000;"https://via.placeholder.com/300x200.png?text=Ducati%20Monster";"The Ducati Monster is a naked sportbike with a distinctive look and feel, perfect for weekend rides.";"Fun side vehicle";"Two-seater";"Manual";"Motorcycle"
284;"Audi";"R8";2022;200000;"https://via.placeholder.com/300x200.png?text=Audi%20R8";"The Audi R8 is a high-performance supercar with cutting-edge technology and sleek design.";"Fun daily driving";"Two-seater";"Automatic";"As safe as possible"
285;"BMW";"S1000RR";2021;15000;"https://via.placeholder.com/300x200.png?text=BMW%20S1000RR";"The BMW S1000RR is a powerful and agile sportbike with advanced electronics and aerodynamics.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
286;"Chevrolet";"Corvette";2021;60000;"https://via.placeholder.com/300x200.png?text=Chevrolet%20Corvette";"The Chevrolet Corvette is an American classic with stunning performance and bold styling.";"Fun daily driving";"Two-seater";"Manual";"As safe as possible"
287;"Dodge";"Charger";2021;35000;"https://via.placeholder.com/300x200.png?text=Dodge%20Charger";"The Dodge Charger is a powerful and spacious sedan with a classic muscle car look.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
288;"Ferrari";"488 GTB";2022;300000;"https://via.placeholder.com/300x200.png?text=Ferrari%20488%20GTB";"The Ferrari 488 GTB is a breathtaking supercar with stunning looks and thrilling performance.";"Fun daily driving";"Two-seater";"Automatic";"As safe as possible"
289;"Harley-Davidson";"Fat Boy";2020;18000;"https://via.placeholder.com/300x200.png?text=Harley-Davidson%20Fat%20Boy";"The Harley-Davidson Fat Boy is a powerful cruiser motorcycle with iconic design and a comfortable ride.";"Fun side vehicle";"Two-seater";"Manual";"Motorcycle"
290;"Honda";"Civic";2021;25000;"https://via.placeholder.com/300x200.png?text=Honda%20Civic";"The Honda Civic is a reliable and practical compact car with excellent fuel efficiency and modern features.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
291;"Kawasaki";"Ninja ZX-10R";2022;15000;"https://via.placeholder.com/300x200.png?text=Kawasaki%20Ninja%20ZX-10R";"The Kawasaki Ninja ZX-10R is a high-performance sportbike with race-inspired technology and aerodynamics.";"Fun daily driving";"Two-seater";"Manual";"Motorcycle"
292;"BMW";"X7";2021;75000;"https://via.placeholder.com/300x200.png?text=BMW%20X7";"The BMW X7 is a luxurious and spacious SUV that is perfect for family road trips.";"Confortable daily driving";"Seven-seater or more";"Automatic";"As safe as possible"
293;"Dodge";"Challenger";2022;38000;"https://via.placeholder.com/300x200.png?text=Dodge%20Challenger";"The Dodge Challenger is a powerful muscle car with retro styling that is great for weekend cruises.";"Fun daily driving";"Four-seater";"Automatic";"As safe as possible"
294;"Honda";"Rebel";2021;7000;"https://via.placeholder.com/300x200.png?text=Honda%20Rebel";"The Honda Rebel is a beginner-friendly cruiser motorcycle that is easy to ride and customize.";"Fun side vehicle";"Two-seater";"Manual";"Motorcycle"
295;"Jeep";"Wrangler";2022;35000;"https://via.placeholder.com/300x200.png?text=Jeep%20Wrangler";"The Jeep Wrangler is a rugged and capable SUV that is perfect for off-roading adventures.";"Fun side vehicle";"Four-seater";"Manual";"As safe as possible"
296;"Kia";"Telluride";2021;45000;"https://via.placeholder.com/300x200.png?text=Kia%20Telluride";"The Kia Telluride is a spacious and affordable SUV with a stylish design and plenty of features.";"Confortable daily driving";"Seven-seater or more";"Automatic";"As safe as possible"
297;"Mazda";"MX-5 Miata";2022;30000;"https://via.placeholder.com/300x200.png?text=Mazda%20MX-5%20Miata";"The Mazda MX-5 Miata is a lightweight and nimble sports car that is great for winding roads.";"Fun daily driving";"Two-seater";"Manual";"As safe as possible"
298;"Nissan";"GT-R";2021;120000;"https://via.placeholder.com/300x200.png?text=Nissan%20GT-R";"The Nissan GT-R is a high-performance sports car with all-wheel drive and advanced technology.";"Fun daily driving";"Two-seater";"Automatic";"As safe as possible"
299;"Porsche";"911";2022;100000;"https://via.placeholder.com/300x200.png?text=Porsche%20911";"The Porsche 911 is a classic sports car with timeless design and impressive performance.";"Fun daily driving";"Two-seater";"Manual";"As safe as possible"
300;"Subaru";"Outback";2022;35000;"https://via.placeholder.com/300x200.png?text=Subaru%20Outback";"The Subaru Outback is a versatile and capable crossover SUV with all-wheel drive and plenty of cargo space.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
301;"Lamborghini";"Aventador";2021;500000;"https://via.placeholder.com/300x200.png?text=Lamborghini%20Aventador";"The Lamborghini Aventador is a high-performance supercar that is perfect for those who love to make a statement.";"Fun daily driving";"Two-seater";"Automatic";"As safe as possible"
302;"Honda";"Accord";2015;9000;"https://via.placeholder.com/300x200.png?text=Used%20Honda%20Accord";"This used Honda Accord is a reliable and affordable sedan for daily driving.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
303;"Dodge";"Challenger";2020;35000;"https://via.placeholder.com/300x200.png?text=2020%20Dodge%20Challenger";"The 2020 Dodge Challenger is a powerful and aggressive muscle car with retro styling.";"Fun daily driving";"Two-seater";"Manual";"As safe as possible"
304;"BMW";"Z4";2019;40000;"https://via.placeholder.com/300x200.png?text=2019%20BMW%20Z4";"The 2019 BMW Z4 is a luxurious and sporty convertible for weekend drives.";"Fun daily driving";"Two-seater";"Automatic";"As safe as possible"
305;"Chevrolet";"Camaro";2021;30000;"https://via.placeholder.com/300x200.png?text=2021%20Chevrolet%20Camaro";"The 2021 Chevrolet Camaro is a sleek and fast sports car with modern features.";"Fun daily driving";"Two-seater";"Manual";"As safe as possible"
306;"Kia";"Soul";2022;18000;"https://via.placeholder.com/300x200.png?text=2022%20Kia%20Soul";"The 2022 Kia Soul is a funky and practical crossover for city driving.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
307;"Porsche";"Panamera";2018;50000;"https://via.placeholder.com/300x200.png?text=2018%20Porsche%20Panamera";"The 2018 Porsche Panamera is a high-performance and luxurious sedan for business trips.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
308;"Jeep";"Wrangler";2017;25000;"https://via.placeholder.com/300x200.png?text=Used%20Jeep%20Wrangler";"This used Jeep Wrangler is a rugged and capable SUV for off-road adventures.";"Fun side vehicle";"Four-seater";"Manual";"As safe as possible"
309;"Tesla";"Model S";2020;65000;"https://via.placeholder.com/300x200.png?text=2020%20Tesla%20Model%20S";"The 2020 Tesla Model S is an electric and high-tech luxury sedan for environmentally-conscious drivers.";"Confortable daily driving";"Four-seater";"Automatic";"As safe as possible"
310;"Subaru";"WRX STI";2021;37000;"https://via.placeholder.com/300x200.png?text=2021%20Subaru%20WRX%20STI";"The 2021 Subaru WRX STI is a rally-inspired and all-wheel-drive sport sedan for performance enthusiasts.";"Fun daily driving";"Four-seater";"Manual";"As safe as possible"
